PRN             t(GNSS TIME)/s                 X/m                 Y/m                 Z/m               toe/s
G01             70500.00000000  -17965166.54218304   -7367268.56312867   18063405.80656571       1500.00000000
G01             70800.00000000  -18271543.99439378   -7980846.45636713   17502252.66357755       1200.00000000
G01             71100.00000000  -18577872.85141528   -8569507.64388483   16907479.22609660        900.00000000
G01             71400.00000000  -18882645.93639976   -9132457.74797348   16280266.55370424        600.00000000
G01             71700.00000000  -19184327.32462987   -9669008.65203253   15621855.20349879        300.00000000
G01             72000.00000000  -19481359.14941511  -10178580.38470379   14933542.56113529          0.00000000
G01             72300.00000000  -19772168.49308611  -10660702.53421199   14216680.08631364        300.00000000
G01             72600.00000000  -20055174.33277077  -11115015.19037696   13472670.47986075        600.00000000
G01             72900.00000000  -20328794.51072387  -11541269.41382053   12702964.77949703        900.00000000
G01             73200.00000000  -20591452.69919877  -11939327.23391081   11909059.39130029       1200.00000000
G01             73500.00000000  -20841585.33019277  -12309161.17896450   11092493.06378211       1500.00000000
G01             73800.00000000  -21077648.46086039  -12650853.34415398   10254843.81137400       1800.00000000
G01             74100.00000000  -21298124.54596571  -12964594.00443441    9397725.79398704       2100.00000000
G01             74400.00000000  -21501529.08943129  -13250679.78161088    8522786.15915943       2400.00000000
G01             74700.00000000  -21686417.14782936  -13509511.37640045    7631701.85314388       2700.00000000
G01             75000.00000000  -21851389.65954599  -13741590.87800357    6726176.40711393       3000.00000000
G01             75300.00000000  -21995099.57432371  -13947518.66528098    5807936.70448502       3300.00000000
G01             75600.00000000  -22116257.75894631  -14127989.91512919    4878729.73515629       3600.00000000
G01             75900.00000000  -22213638.65258347  -14283790.74570659    3940319.26819362       3300.00000000
G01             76200.00000000  -22286085.66248496  -14415793.91860592    2994482.91596253       3000.00000000
G01             76500.00000000  -22332516.26715591  -14524954.43215665    2043008.37255841       2700.00000000
G01             76800.00000000  -22351926.79922418  -14612304.50706656    1087690.52609592       2400.00000000
G01             77100.00000000  -22343396.91403045  -14678948.45121465     130328.13525970       2100.00000000
G01             77400.00000000  -22306093.71131902  -14726057.21125879    -827279.38418579       1800.00000000
G01             77700.00000000  -22239275.49867148  -14754862.67497045   -1783335.15091476       1500.00000000
G01             78000.00000000  -22142295.18313575  -14766651.74858094   -2736047.98337260       1200.00000000
G01             78300.00000000  -22014603.27902445  -14762760.23407887   -3683635.53489465        900.00000000
G01             78600.00000000  -21855750.52139785  -14744566.53195963   -4624327.39476444        600.00000000
G01             78900.00000000  -21665390.07630538  -14713485.19539066   -5556368.15153561        300.00000000
G01             79200.00000000  -21443279.34042847  -14670960.36212691   -6478020.41510757          0.00000000
G01             79500.00000000  -21189281.32434341  -14618459.09078691   -7387567.79419879        300.00000000
G01             79800.00000000  -20903365.61519922  -14557464.62828354   -8283317.82600822        600.00000000
G01             80100.00000000  -20585608.91617975  -14489469.63529754   -9163604.85499034        900.00000000
G01             80400.00000000  -20236195.16168585  -14415969.39668527  -10026792.85779449       1200.00000000
G01             80700.00000000  -19855415.20872822  -14338455.04362949  -10871278.21153394       1500.00000000
G01             81000.00000000  -19443666.10656283  -14258406.81417248  -11695492.40265295       1800.00000000
G01             81300.00000000  -19001449.94812090  -14177287.37851818  -12497904.67375323       2100.00000000
G01             81600.00000000  -18529372.30828553  -14096535.25515498  -13277024.60582205       2400.00000000
G01             81900.00000000  -18028140.27553973  -14017558.34343609  -14031404.63337543       2700.00000000
G01             82200.00000000  -17498560.08495567  -13941727.59776128  -14759642.49008920       3000.00000000
G01             82500.00000000  -16941534.36190750  -13870370.86793451  -15460383.58254041       3300.00000000
G01             82800.00000000  -16358058.98726744  -13804766.92962909  -16132323.28972105       3600.00000000
G01             83100.00000000  -15749219.59618554  -13746139.72817613  -16774209.18601565       3900.00000000
G01             83400.00000000  -15116187.72385262  -13695652.85810662  -17384843.18535503       4200.00000000
G01             83700.00000000  -14460216.61290239  -13654404.30002374  -17963083.60427093       4500.00000000
G01             84000.00000000  -13782636.69831936  -13623421.43546173  -18507847.14158059       4800.00000000
G01             84300.00000000  -13084850.78688101  -13603656.35940355  -19018110.77242772       5100.00000000
G01             84600.00000000  -12368328.94927378  -13595981.50908337  -19492913.55439813       5400.00000000
G01             84900.00000000  -11634603.14408019  -13601185.62659303  -19931358.34341372       5700.00000000
G01             85200.00000000  -10885261.59383493  -13619970.07164749  -20332613.41709101       6000.00000000
G01             85500.00000000  -10121942.93429097  -13652945.49964353  -20695914.00322875       6300.00000000
G01             85800.00000000   -9346330.15891724  -13700628.91887221  -21020563.71106575       6600.00000000
G01             86100.00000000   -8560144.38146719  -13763441.13941990  -21305935.86292589       6900.00000000
G01             86400.00000000   -7765138.44020746  -13841704.62491836  -21551474.72384306       7200.00000000
G02                 0.00000000  -15007423.16652131   14399954.52302856   17077873.16419729       7184.00000000
G02               300.00000000  -15613758.43090180   14442899.74477181   16460613.39530028       6884.00000000
G02               600.00000000  -16196757.17209356   14492147.50760490   15813001.32546616       6584.00000000
G02               900.00000000  -16755314.97437108   14546533.21901620   15136174.43749863       6284.00000000
G02              1200.00000000  -17288406.71682511   14604836.32748750   14431326.89775359       5984.00000000
G02              1500.00000000  -17795090.46435545   14665785.56202163   13699708.02330141       5684.00000000
G02              1800.00000000  -18274511.06168475   14728064.42625747   12942620.63821844       5384.00000000
